,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
100,7.7492979900893e-13,1.136577288762978,1.0342810778966047,1.1141719226103216e-11,1.0296061595540503e-12,0.00013953861092751044
101,7.7492979900893e-13,1.3587995109852002,1.027282601597367,1.1157729389219595e-11,1.047835776466442e-12,0.00021374487527545788
102,7.7492979900893e-13,1.5810217332074223,1.0281002778751045,1.118226371709891e-11,1.0481645138679857e-12,0.00032742022279388846
103,7.7492979900893e-13,1.8032439554296444,0.9974182159352925,1.1219994434351384e-11,1.1286893457707806e-12,0.0005015660456548445
104,7.7492979900893e-13,2.0254661776518668,0.9969717298934153,1.1277130330216806e-11,1.1356038852900876e-12,0.0007683694756819983
105,7.7492979900893e-13,2.247688399874089,0.9339212004988706,1.1363771441347632e-11,1.3231262623479554e-12,0.0011771748432362606
106,7.7492979900893e-13,2.469910622096311,0.9379921198226597,1.149445273012533e-11,1.3258554519790984e-12,0.0018036588811719224
107,7.7492979900893e-13,2.6921328443185333,0.8219074111367277,1.168996859848336e-11,1.761594450269632e-12,0.00276394385592812
108,7.7492979900893e-13,2.9143550665407556,0.8304466741502026,1.1978796695976235e-11,1.769972504842812e-12,0.004236328561726988
109,7.7492979900893e-13,3.136577288762978,0.5943288065135519,1.2397225332133913e-11,3.1549733019552006e-12,0.006494761933025043
110,7.7492979900893e-13,3.336577288762978,0.48844352322159246,1.2918143710737338e-11,4.195237851219392e-12,0.009543248317337261
111,7.7492979900893e-13,3.536577288762978,0.44903827814510144,1.5921339056995257e-11,5.661627771797354e-12,0.014026371627678787
112,7.7492979900893e-13,3.736577288762978,0.48997316419214876,1.7816281558404472e-11,5.7655919572730306e-12,0.020620039803663774
113,7.7492979900893e-13,3.9365772887629777,0.20189817429014667,2.0582156832790117e-11,1.292982684361188e-11,0.030315797372924093
114,7.7492979900893e-13,4.136577288762978,0.12084587463239771,2.545396451687169e-11,1.9271235548267143e-11,0.0445642959628787
115,7.7492979900893e-13,4.336577288762978,0.13533244399272526,3.397263386388076e-11,2.4876929454053575e-11,0.0654842726902319
116,7.7492979900893e-13,4.536577288762978,0.04361060919408288,4.447040186921456e-11,4.022170208092471e-11,0.09617043945424657
117,7.7492979900893e-13,4.7365772887629785,0.09825247305554896,6.465174515298177e-11,5.156176548762701e-11,0.14114435433294706
118,7.7492979900893e-13,4.936577288762978,0.007766487052348836,7.28740907530357e-11,7.15824670573073e-11,0.20700161901161218
119,7.7492979900893e-13,5.136577288762978,0.023819180048695543,1.3260524809004512e-10,1.25528266767446e-10,0.3033293410569871
120,1.2926608140191327e-12,1.136577288762978,1.0342846280060556,1.1141816846705973e-11,1.0296067641910601e-12,0.0002327619783893395
121,1.2926608140191327e-12,1.3587995109852002,1.027291102091846,1.1157933486814999e-11,1.0478344339356013e-12,0.0003565441828639996
122,1.2926608140191327e-12,1.5810217332074223,1.0281121904121004,1.1182575121537734e-11,1.048164952053253e-12,0.000546164091646293
123,1.2926608140191327e-12,1.8032439554296444,0.9974183400898138,1.1219999483194848e-11,1.1286895309998007e-12,0.0008366541460984006
124,1.2926608140191327e-12,2.0254661776518668,0.9969754246612315,1.1277232984476697e-11,1.1356045613289388e-12,0.0012817040172708944
125,1.2926608140191327e-12,2.247688399874089,0.9339248960239761,1.1363869878470269e-11,1.3231264648726751e-12,0.0019636252860396972
126,1.2926608140191327e-12,2.469910622096311,0.9379951173889793,1.1494533100181521e-11,1.32585557116999e-12,0.0030086525834450415
127,1.2926608140191327e-12,2.6921328443185333,0.8219107161151644,1.1690059001383866e-11,1.761594667562539e-12,0.00461048751925662
128,1.2926608140191327e-12,2.9143550665407556,0.8304490142227436,1.1978862725345909e-11,1.7699727242412604e-12,0.007066547197201768
129,1.2926608140191327e-12,3.136577288762978,0.5943318478573048,1.2397313739308491e-11,3.1549737065122293e-12,0.010833801071598747
130,1.2926608140191327e-12,3.336577288762978,0.4884459239137051,1.2918216535297185e-11,4.195238310900147e-12,0.01591892867966635
131,1.2926608140191327e-12,3.536577288762978,0.44904081374047955,1.592143233987924e-11,5.661627888107297e-12,0.023397149207395468
132,1.2926608140191327e-12,3.736577288762978,0.4899751698426247,1.78163646379263e-11,5.765592216331316e-12,0.03439593296058998
133,1.2926608140191327e-12,3.9365772887629777,0.2018995561447685,2.058222852979179e-11,1.2929830743381775e-11,0.050569258287063004
134,1.2926608140191327e-12,4.136577288762978,0.12084688644613806,2.545402382722258e-11,1.9271235554293797e-11,0.07433693193956976
135,1.2926608140191327e-12,4.336577288762978,0.1353327007105154,3.3972657678936634e-11,2.4876932187835364e-11,0.10923318376643792
136,1.2926608140191327e-12,4.536577288762978,0.043610729612098,4.447041424131197e-11,4.022170211861004e-11,0.16042025028959978
137,1.2926608140191327e-12,4.7365772887629785,0.09825259193009472,6.465176307218012e-11,5.156176566531736e-11,0.23544046480526584
138,1.2926608140191327e-12,4.936577288762978,0.007766565797910019,7.287410372219494e-11,7.158246681738443e-11,0.3452958450948728
139,1.2926608140191327e-12,5.136577288762978,0.02381925112294425,1.3260526913864718e-10,1.2552826614944176e-10,0.5059784855514802
140,2.1562881982827763e-12,1.136577288762978,1.0342921858813376,1.1142010165238817e-11,1.029606710566544e-12,0.0003882635546662199
141,2.1562881982827763e-12,1.3587995109852002,1.0272941107451992,1.1158029393091879e-11,1.047836181333755e-12,0.0005947410852713594
