Dataset type,RNA dataset num.,Prot. count dataset num.,Cell,Gene,Log2 TPM,Log10 Prot. count
Cancer,2.0,,ACH-000944,IL1R1_HUMAN,0.0840642647884745,
Cancer,2.0,,ACH-000561,IL1R1_HUMAN,2.0143552929770703,
Cancer,2.0,,ACH-001648,IL1R1_HUMAN,2.204766750654613,
Cancer,2.0,,ACH-000394,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000954,IL1R1_HUMAN,1.761285273361619,
Cancer,2.0,,ACH-000204,IL1R1_HUMAN,0.0565835283663675,
Cancer,2.0,,ACH-000160,IL1R1_HUMAN,4.602884408718419,
Cancer,2.0,,ACH-000989,IL1R1_HUMAN,1.2016338611696504,
Cancer,2.0,,ACH-001347,IL1R1_HUMAN,4.15623479785027,
Cancer,2.0,,ACH-000691,IL1R1_HUMAN,0.9708536543404837,
